Group,Realm,Date,Success,Year,Month
Core Workouts,Core,27-02-2024,Success,2024,2
Core Workouts,Core,27-02-2024,Success,2024,2
Core Workouts,Core,28-02-2024,Success,2024,2
Core Workouts,Core,29-02-2024,Success,2024,2
Core Workouts,Core,07-03-2024,Success,2024,3
Core Workouts,Core,08-03-2024,Success,2024,3
Core Workouts,Core,13-03-2024,Success,2024,3
Core Workouts,Core,19-03-2024,Success,2024,3
Core Workouts,Core,19-03-2024,Success,2024,3
Core Workouts,Core,20-03-2024,Success,2024,3
Core Workouts,Core,20-03-2024,Success,2024,3
Core Workouts,Core,20-03-2024,Failure,2024,3
Core Workouts,Core,20-03-2024,Success,2024,3
Core Workouts,Core,21-03-2024,Success,2024,3
Core Workouts,Core,21-03-2024,Success,2024,3
Core Workouts,Core,25-03-2024,Success,2024,3
Core Workouts,Core,27-03-2024,Success,2024,3
Core Workouts,Core,02-04-2024,Success,2024,4
Core Workouts,Core,02-04-2024,Success,2024,4
Core Workouts,Core,03-04-2024,Failure,2024,4
Core Workouts,Core,03-04-2024,Success,2024,4
Core Workouts,Core,04-04-2024,Success,2024,4
Core Workouts,Core,04-04-2024,Success,2024,4
Core Workouts,Core,05-04-2024,Success,2024,4
Core Workouts,Core,05-04-2024,Success,2024,4
Core Workouts,Core,08-04-2024,Success,2024,4
Core Workouts,Core,09-04-2024,Success,2024,4
Core Workouts,Core,09-04-2024,Success,2024,4
Core Workouts,Core,15-04-2024,Success,2024,4
Core Workouts,Core,16-04-2024,Success,2024,4
Core Workouts,Core,16-04-2024,Success,2024,4
Core Workouts,Core,17-04-2024,Success,2024,4
Core Workouts,Core,25-04-2024,Success,2024,4
Core Workouts,Core,29-04-2024,Success,2024,4
Core Workouts,Core,03-05-2024,Success,2024,5
Core Workouts,Core,06-05-2024,Success,2024,5
Core Workouts,Core,07-05-2024,Success,2024,5
Core Workouts,Core,07-05-2024,Success,2024,5
Core Workouts,Core,13-05-2024,Success,2024,5
Core Workouts,Core,21-05-2024,Success,2024,5
Core Workouts,Core,22-05-2024,Success,2024,5
Core Workouts,Core,22-05-2024,Success,2024,5
Core Workouts,Core,23-05-2024,Success,2024,5
Core Workouts,Core,24-05-2024,Success,2024,5
Core Workouts,Core,27-05-2024,Success,2024,5
Core Workouts,Core,27-05-2024,Success,2024,5
Core Workouts,Core,27-05-2024,Success,2024,5
Core Workouts,Core,29-05-2024,Success,2024,5
Core Workouts,Core,03-06-2024,Success,2024,6
Core Workouts,Core,04-06-2024,Success,2024,6
Core Workouts,Core,05-06-2024,Success,2024,6
Core Workouts,Core,07-06-2024,Success,2024,6
Core Workouts,Core,07-06-2024,Success,2024,6
Core Workouts,Core,07-06-2024,Success,2024,6
Core Workouts,Core,11-06-2024,Success,2024,6
Core Workouts,Core,11-06-2024,Success,2024,6
Core Workouts,Core,12-06-2024,Success,2024,6
Core Workouts,Core,14-06-2024,Success,2024,6
Core Workouts,Core,17-06-2024,Success,2024,6
Core Workouts,Core,17-06-2024,Success,2024,6
Core Workouts,Core,18-06-2024,Success,2024,6
Core Workouts,Core,18-06-2024,Success,2024,6
Core Workouts,Core,18-06-2024,Success,2024,6
Core Workouts,Core,21-06-2024,Success,2024,6
Core Workouts,Core,24-06-2024,Success,2024,6
Core Workouts,Core,26-06-2024,Success,2024,6
Core Workouts,Core,26-06-2024,Success,2024,6
Core Workouts,Core,26-06-2024,Success,2024,6
Core Workouts,Core,26-06-2024,Success,2024,6
Core Workouts,Core,27-06-2024,Success,2024,6
Core Workouts,Core,01-07-2024,Success,2024,7
Core Workouts,Core,01-07-2024,Success,2024,7
Core Workouts,Core,02-07-2024,Success,2024,7
Core Workouts,Core,04-07-2024,Success,2024,7
Core Workouts,Core,04-07-2024,Success,2024,7
Core Workouts,Core,04-07-2024,Success,2024,7
Core Workouts,Core,05-07-2024,Success,2024,7
Core Workouts,Core,08-07-2024,Success,2024,7
Core Workouts,Core,10-07-2024,Success,2024,7
Core Workouts,Core,11-07-2024,Success,2024,7
Core Workouts,Core,12-07-2024,Success,2024,7
Core Workouts,Core,16-07-2024,Success,2024,7
Core Workouts,Core,16-07-2024,Success,2024,7
Core Workouts,Core,17-07-2024,Success,2024,7
Core Workouts,Core,18-07-2024,Success,2024,7
Core Workouts,Core,18-07-2024,Success,2024,7
Core Workouts,Core,19-07-2024,Success,2024,7
Core Workouts,Core,23-07-2024,Success,2024,7
Core Workouts,Core,29-07-2024,Success,2024,7
Core Workouts,Core,30-07-2024,Success,2024,7
Core Workouts,Core,01-08-2024,Success,2024,8
Core Workouts,Core,01-08-2024,Success,2024,8
Core Workouts,Core,05-08-2024,Success,2024,8
Core Workouts,Core,07-08-2024,Success,2024,8
Core Workouts,Core,08-08-2024,Success,2024,8
Core Workouts,Core,08-08-2024,Success,2024,8
Core Workouts,Core,09-08-2024,Success,2024,8
Core Workouts,Core,12-08-2024,Success,2024,8
Core Workouts,Core,12-08-2024,Success,2024,8
Core Workouts,Core,12-08-2024,Success,2024,8
Core Workouts,Core,12-08-2024,Success,2024,8
Core Workouts,Core,13-08-2024,Success,2024,8
Core Workouts,Core,13-08-2024,Success,2024,8
Core Workouts,Core,14-08-2024,Success,2024,8
Core Workouts,Core,14-08-2024,Success,2024,8
Core Workouts,Core,20-08-2024,Success,2024,8
Core Workouts,Core,22-08-2024,Success,2024,8
Core Workouts,Core,22-08-2024,Success,2024,8
Core Workouts,Core,22-08-2024,Success,2024,8
Core Workouts,Core,23-08-2024,Success,2024,8
Core Workouts,Core,27-08-2024,Success,2024,8
Core Workouts,Core,27-08-2024,Success,2024,8
Core Workouts,Core,27-08-2024,Success,2024,8
Core Workouts,Core,27-08-2024,Success,2024,8
Core Workouts,Core,30-08-2024,Success,2024,8
Core Workouts,Core,30-08-2024,Success,2024,8
Core Workouts,Core,30-08-2024,Success,2024,8
Core Workouts,Core,02-09-2024,Success,2024,9
Core Workouts,Core,04-09-2024,Success,2024,9
Core Workouts,Core,05-09-2024,Success,2024,9
Core Workouts,Core,06-09-2024,Success,2024,9
Core Workouts,Core,10-09-2024,Success,2024,9
Core Workouts,Core,10-09-2024,Success,2024,9
Core Workouts,Core,13-09-2024,Success,2024,9
Core Workouts,Core,16-09-2024,Success,2024,9
Core Workouts,Core,16-09-2024,Success,2024,9
Core Workouts,Core,19-09-2024,Success,2024,9
Core Workouts,Core,19-09-2024,Failure,2024,9
Core Workouts,Core,20-09-2024,Success,2024,9
Core Workouts,Core,20-09-2024,Failure,2024,9
Core Workouts,Core,24-09-2024,Success,2024,9
Core Workouts,Core,24-09-2024,Failure,2024,9
Core Workouts,Core,24-09-2024,Success,2024,9
Core Workouts,Core,24-09-2024,Success,2024,9
Core Workouts,Core,24-09-2024,Success,2024,9
Core Workouts,Core,27-09-2024,Success,2024,9
Core Workouts,Core,30-09-2024,Success,2024,9
Core Workouts,Core,30-09-2024,Success,2024,9
Core Workouts,Core,30-09-2024,Failure,2024,9
Core Workouts,Core,30-09-2024,Success,2024,9
Core Workouts,Core,30-09-2024,Failure,2024,9
Core Workouts,Core,01-10-2024,Success,2024,10
Core Workouts,Core,01-10-2024,Success,2024,10
Core Workouts,Core,01-10-2024,Success,2024,10
Core Workouts,Core,02-10-2024,Success,2024,10
Core Workouts,Core,02-10-2024,Success,2024,10
Core Workouts,Core,04-10-2024,Success,2024,10
Core Workouts,Core,04-10-2024,Success,2024,10
Core Workouts,Core,07-10-2024,Success,2024,10
Core Workouts,Core,07-10-2024,Success,2024,10
Core Workouts,Core,08-10-2024,Success,2024,10
Core Workouts,Core,10-10-2024,Success,2024,10
Core Workouts,Core,10-10-2024,Success,2024,10
Core Workouts,Core,14-10-2024,Success,2024,10
Core Workouts,Core,14-10-2024,Success,2024,10
Core Workouts,Core,21-10-2024,Success,2024,10
Core Workouts,Core,21-10-2024,Success,2024,10
Core Workouts,Core,22-10-2024,Success,2024,10
Core Workouts,Core,23-10-2024,Success,2024,10
Core Workouts,Core,25-10-2024,Success,2024,10
Core Workouts,Core,04-11-2024,Success,2024,11
Core Workouts,Core,11-11-2024,Success,2024,11
Core Workouts,Core,12-11-2024,Success,2024,11
Core Workouts,Core,05-12-2024,Success,2024,12
Core Workouts,Core,13-12-2024,Success,2024,12
Core Workouts,Core,16-12-2024,Success,2024,12
Core Workouts,Core,17-12-2024,Success,2024,12
Core Workouts,Core,03-01-2025,Success,2025,1
Core Workouts,Core,03-01-2025,Success,2025,1
Core Workouts,Core,03-01-2025,Success,2025,1
Core Workouts,Core,13-01-2025,Success,2025,1
Core Workouts,Core,14-01-2025,Success,2025,1
Core Workouts,Core,15-01-2025,Success,2025,1
Core Workouts,Core,17-01-2025,Success,2025,1
Core Workouts,Core,17-01-2025,Success,2025,1
Core Workouts,Core,17-01-2025,Success,2025,1
Core Workouts,Core,21-01-2025,Success,2025,1
Core Workouts,Core,23-01-2025,Success,2025,1
Core Workouts,Core,27-01-2025,Success,2025,1
Core Workouts,Core,30-01-2025,Success,2025,1
Core Workouts,Core,30-01-2025,Success,2025,1
Core Workouts,Core,03-02-2025,Success,2025,2
Core Workouts,Core,04-02-2025,Success,2025,2
Core Workouts,Core,04-02-2025,Success,2025,2
Core Workouts,Core,04-02-2025,Success,2025,2
Core Workouts,Core,05-02-2025,Success,2025,2
Core Workouts,Core,05-02-2025,Success,2025,2
Core Workouts,Core,06-02-2025,Success,2025,2
Core Workouts,Core,11-02-2025,Success,2025,2
Core Workouts,Core,11-02-2025,Success,2025,2
Core Workouts,Core,12-02-2025,Success,2025,2
Core Workouts,Core,13-02-2025,Success,2025,2
Core Workouts,Core,17-02-2025,Success,2025,2
Core Workouts,Core,17-02-2025,Failure,2025,2
Core Workouts,Core,17-02-2025,Success,2025,2
Core Workouts,Core,19-02-2025,Success,2025,2
Core Workouts,Core,04-03-2025,Success,2025,3
Core Workouts,Core,04-03-2025,Success,2025,3
Core Workouts,Core,06-03-2025,Success,2025,3
Core Workouts,Core,07-03-2025,Success,2025,3
Core Workouts,Core,14-03-2025,Success,2025,3
Core Workouts,Core,02-04-2025,Success,2025,4
Core Workouts,Core,03-04-2025,Success,2025,4
Core Workouts,Core,14-04-2025,Success,2025,4
Core Workouts,Core,24-04-2025,Success,2025,4
Core Workouts,Core,06-05-2025,Success,2025,5
Core Workouts,Core,09-05-2025,Success,2025,5
Core Workouts,Core,09-05-2025,Success,2025,5
Core Workouts,Core,12-05-2025,Success,2025,5
Core Workouts,Core,20-05-2025,Success,2025,5
Core Workouts,Core,20-05-2025,Success,2025,5
Core Workouts,Core,20-05-2025,Success,2025,5
Core Workouts,Core,20-05-2025,Success,2025,5
Core Workouts,Core,21-05-2025,Success,2025,5
Core Workouts,Core,21-05-2025,Success,2025,5
Core Workouts,Core,23-05-2025,Success,2025,5
Core Workouts,Core,23-05-2025,Failure,2025,5
Core Workouts,Core,23-05-2025,Success,2025,5
Core Workouts,Core,03-06-2025,Success,2025,6
Core Workouts,Core,12-06-2025,Success,2025,6
Core Workouts,Core,23-06-2025,Success,2025,6
Core Workouts,Core,23-06-2025,Success,2025,6
Core Workouts,Core,25-06-2025,Success,2025,6
Core Workouts,Core,01-07-2025,Success,2025,7
Core Workouts,Core,08-07-2025,Success,2025,7
Core Workouts,Core,10-07-2025,Success,2025,7
Core Workouts,Core,11-07-2025,Success,2025,7
Core Workouts,Core,11-07-2025,Success,2025,7
Core Workouts,Core,15-07-2025,Success,2025,7
Core Workouts,Core,15-07-2025,Success,2025,7
Core Workouts,Core,17-07-2025,Success,2025,7
Core Workouts,Core,23-07-2025,Success,2025,7
Core Workouts,Core,30-07-2025,Success,2025,7
Core Workouts,Core,31-07-2025,Success,2025,7
Core Workouts,Core,08-08-2025,Success,2025,8
Core Workouts,Core,08-08-2025,Success,2025,8
Core Workouts,Core,01-09-2025,Success,2025,9
Core Workouts,Core,02-09-2025,Success,2025,9
Core Workouts,Core,02-09-2025,Success,2025,9
Core Workouts,Core,02-09-2025,Success,2025,9
Core Workouts,Core,08-09-2025,Success,2025,9
Core Workouts,Core,09-09-2025,Success,2025,9
Core Workouts,Core,09-09-2025,Success,2025,9
Core Workouts,Core,09-09-2025,Success,2025,9
Core Workouts,Core,10-09-2025,Success,2025,9
Core Workouts,Core,10-09-2025,Failure,2025,9
Core Workouts,Core,10-09-2025,Success,2025,9
Core Workouts,Core,10-09-2025,Success,2025,9
Core Workouts,Core,11-09-2025,Success,2025,9
Core Workouts,Core,11-09-2025,Success,2025,9
Core Workouts,Core,11-09-2025,Success,2025,9
Core Workouts,Core,12-09-2025,Success,2025,9
Core Workouts,Core,15-09-2025,Success,2025,9
Core Workouts,Core,15-09-2025,Success,2025,9
Core Workouts,Core,16-09-2025,Success,2025,9
Core Workouts,Core,17-09-2025,Success,2025,9
Core Workouts,Core,22-09-2025,Success,2025,9
Core Workouts,Core,23-09-2025,Success,2025,9
Core Workouts,Core,24-09-2025,Success,2025,9
Core Workouts,Core,24-09-2025,Success,2025,9
Core Workouts,Core,26-09-2025,Success,2025,9
Core Workouts,Core,29-09-2025,Success,2025,9
Core Workouts,Core,30-09-2025,Success,2025,9
Core Workouts,Core,01-10-2025,Success,2025,10
Core Workouts,Core,01-10-2025,Success,2025,10
Core Workouts,Core,06-10-2025,Success,2025,10
Core Workouts,Core,08-10-2025,Success,2025,10
Core Workouts,Core,09-10-2025,Success,2025,10
Core Workouts,Core,14-10-2025,Success,2025,10
Core Workouts,Core,15-10-2025,Success,2025,10
Core Workouts,Core,15-10-2025,Success,2025,10
Core Workouts,Core,16-10-2025,Success,2025,10
Core Workouts,Core,20-10-2025,Success,2025,10
Core Workouts,Core,28-10-2025,Success,2025,10
Core Workouts,Core,03-11-2025,Success,2025,11
Core Workouts,Core,03-11-2025,Success,2025,11
Core Workouts,Core,06-11-2025,Success,2025,11
Core Workouts,Core,10-11-2025,Success,2025,11
Core Workouts,Core,13-11-2025,Success,2025,11
Core Workouts,Core,14-11-2025,Success,2025,11
Core Workouts,Core,17-11-2025,Success,2025,11
Core Workouts,Core,24-11-2025,Success,2025,11
Core Workouts,Core,24-11-2025,Success,2025,11
Core Workouts,Core,24-11-2025,Success,2025,11
Core Workouts,Core,24-11-2025,Failure,2025,11
Core Workouts,Core,28-11-2025,Success,2025,11
Core Workouts,Core,04-12-2025,Success,2025,12
Core Workouts,Core,10-12-2025,Success,2025,12
Core Workouts,Core,15-12-2025,Success,2025,12
Core Workouts,Core,15-12-2025,Success,2025,12
Core Workouts,Core,15-12-2025,Success,2025,12
Core Workouts,Core,15-12-2025,Success,2025,12
Core Workouts,Core,15-12-2025,Success,2025,12
Core Workouts,Core,16-12-2025,Success,2025,12
Core Workouts,Core,22-12-2025,Success,2025,12
Core Workouts,Core,07-01-2026,Success,2026,1
Core Workouts,Core,07-01-2026,Success,2026,1
Core Workouts,Core,07-01-2026,Success,2026,1
Core Workouts,Core,08-01-2026,Success,2026,1
Core Workouts,Core,08-01-2026,Success,2026,1
Core Workouts,Core,19-01-2026,Success,2026,1
Core Workouts,Core,20-01-2026,Success,2026,1
Core Workouts,Core,21-01-2026,Success,2026,1
Core Workouts,Core,26-01-2026,Success,2026,1
Core Workouts,Core,04-02-2026,Success,2026,2
Core Workouts,Core,04-02-2026,Success,2026,2
Core Workouts,Core,06-02-2026,Success,2026,2
Core Workouts,Core,09-02-2026,Success,2026,2
Core Workouts,Core,09-02-2026,Success,2026,2
Core Workouts,Core,09-02-2026,Success,2026,2
Core Workouts,Core,09-02-2026,Success,2026,2
Core Workouts,Core,10-02-2026,Success,2026,2
Core Workouts,Core,10-02-2026,Success,2026,2
Core Workouts,Core,11-02-2026,Success,2026,2
Core Workouts,Core,11-02-2026,Success,2026,2
Core Workouts,Core,18-02-2026,Success,2026,2
Core Workouts,Core,18-02-2026,Success,2026,2
Core Workouts,Core,20-02-2026,Success,2026,2
Core Workouts,Core,24-02-2026,Success,2026,2
Core Workouts,Core,25-02-2026,Success,2026,2
Core Workouts,Core,26-02-2026,Success,2026,2
Core Workouts,Core,04-03-2026,Success,2026,3
Core Workouts,Core,04-03-2026,Success,2026,3
Core Workouts,Core,04-03-2026,Failure,2026,3
Core Workouts,Core,04-03-2026,Success,2026,3
Core Workouts,Core,05-03-2026,Success,2026,3
Core Workouts,Core,10-03-2026,Success,2026,3
Core Workouts,Core,11-03-2026,Success,2026,3
Core Workouts,Core,12-03-2026,Success,2026,3
Core Workouts,Core,12-03-2026,Success,2026,3
Core Workouts,Core,16-03-2026,Success,2026,3
Core Workouts,Core,18-03-2026,Success,2026,3
Core Workouts,Core,19-03-2026,Success,2026,3
Core Workouts,Core,19-03-2026,Success,2026,3
Core Workouts,Core,20-03-2026,Success,2026,3
Core Workouts,Core,23-03-2026,Success,2026,3
Core Workouts,Core,27-03-2026,Success,2026,3
Core Workouts,Core,31-03-2026,Success,2026,3
Core Workouts,Core,07-04-2026,Success,2026,4
Core Workouts,Core,08-04-2026,Success,2026,4
Core Workouts,Core,08-04-2026,Success,2026,4
Core Workouts,Core,09-04-2026,Success,2026,4
Core Workouts,Core,09-04-2026,Success,2026,4
Core Workouts,Core,13-04-2026,Success,2026,4
Core Workouts,Core,14-04-2026,Success,2026,4
Core Workouts,Core,15-04-2026,Success,2026,4
Core Workouts,Core,15-04-2026,Success,2026,4
Core Workouts,Core,16-04-2026,Success,2026,4
Core Workouts,Core,16-04-2026,Success,2026,4
Core Workouts,Core,17-04-2026,Success,2026,4
Core Workouts,Core,27-04-2026,Success,2026,4
Core Workouts,Core,29-04-2026,Success,2026,4
Core Workouts,Core,04-05-2026,Success,2026,5
Core Workouts,Core,08-05-2026,Success,2026,5
Core Workouts,Core,12-05-2026,Success,2026,5
Core Workouts,Core,18-05-2026,Success,2026,5
Core Workouts,Core,19-05-2026,Success,2026,5
Core Workouts,Core,20-05-2026,Success,2026,5
Core Workouts,Core,21-05-2026,Success,2026,5
Core Workouts,Core,27-05-2026,Success,2026,5
Core Workouts,Core,28-05-2026,Success,2026,5
Core Workouts,Core,01-06-2026,Success,2026,6
Core Workouts,Core,05-06-2026,Success,2026,6
Core Workouts,Core,08-06-2026,Success,2026,6
Core Workouts,Core,10-06-2026,Success,2026,6
Core Workouts,Core,12-06-2026,Success,2026,6
Core Workouts,Core,17-06-2026,Success,2026,6
Core Workouts,Core,18-06-2026,Success,2026,6
Core Workouts,Core,19-06-2026,Success,2026,6
Core Workouts,Core,23-06-2026,Success,2026,6
Core Workouts,Core,29-06-2026,Success,2026,6
Core Workouts,Core,30-06-2026,Success,2026,6
Core Workouts,Core,07-07-2026,Success,2026,7
Core Workouts,Core,09-07-2026,Success,2026,7
Core Workouts,Core,09-07-2026,Success,2026,7
Core Workouts,Core,10-07-2026,Success,2026,7
Core Workouts,Core,15-07-2026,Success,2026,7
Core Workouts,Core,20-07-2026,Success,2026,7
Core Workouts,Core,21-07-2026,Success,2026,7
Core Workouts,Core,22-07-2026,Success,2026,7
Core Workouts,Core,23-07-2026,Success,2026,7
Core Workouts,Core,27-07-2026,Success,2026,7
Core Workouts,Core,28-07-2026,Success,2026,7
Core Workouts,Core,28-07-2026,Success,2026,7
Core Workouts,Core,30-07-2026,Success,2026,7
Core Workouts,Core,30-07-2026,Success,2026,7
Core Workouts,Core,30-07-2026,Success,2026,7
Core Workouts,Core,30-07-2026,Success,2026,7
Core Workouts,Core,03-08-2026,Success,2026,8
Core Workouts,Core,17-08-2026,Success,2026,8
Core Workouts,Core,24-08-2026,Success,2026,8
Core Workouts,Core,25-08-2026,Success,2026,8
Core Workouts,Core,31-08-2026,Success,2026,8
Unassigned,Unassigned,15-05-2025,Success,2025,5
Unassigned,Unassigned,15-05-2025,Success,2025,5
Unassigned,Unassigned,11-07-2025,Success,2025,7
Unassigned,Unassigned,04-09-2025,Success,2025,9
Unassigned,Unassigned,22-09-2025,Success,2025,9
Unassigned,Unassigned,10-10-2025,Success,2025,10
Unassigned,Unassigned,14-01-2026,Success,2026,1
Unassigned,Unassigned,11-03-2026,Success,2026,3
Unassigned,Unassigned,05-05-2026,Success,2026,5
Unassigned,Unassigned,05-05-2026,Success,2026,5
Unassigned,Unassigned,05-05-2026,Success,2026,5
Unassigned,Unassigned,20-05-2026,Success,2026,5
Unassigned,Unassigned,21-08-2026,Success,2026,8
Unassigned,Unassigned,07-02-2024,Success,2024,2
Unassigned,Unassigned,08-02-2024,Success,2024,2
Unassigned,Unassigned,01-03-2024,Success,2024,3
Unassigned,Unassigned,03-05-2024,Success,2024,5
Unassigned,Unassigned,03-05-2024,Success,2024,5
Unassigned,Unassigned,03-05-2024,Success,2024,5
Unassigned,Unassigned,18-11-2024,Success,2024,11
Unassigned,Unassigned,07-02-2024,Success,2024,2
Unassigned,Unassigned,08-02-2024,Success,2024,2
Unassigned,Unassigned,01-03-2024,Success,2024,3
Unassigned,Unassigned,03-05-2024,Success,2024,5
Unassigned,Unassigned,03-05-2024,Success,2024,5
Unassigned,Unassigned,03-05-2024,Success,2024,5
Unassigned,Unassigned,18-11-2024,Success,2024,11
Digital-Operations,Core,12-01-2024,Success,2024,1
Digital-Operations,Core,19-01-2024,Success,2024,1
Digital-Operations,Core,05-02-2024,Success,2024,2
Digital-Operations,Core,09-02-2024,Success,2024,2
Digital-Operations,Core,01-03-2024,Success,2024,3
Digital-Operations,Core,04-03-2024,Success,2024,3
Digital-Operations,Core,04-03-2024,Failure,2024,3
Digital-Operations,Core,13-03-2024,Success,2024,3
Digital-Operations,Core,04-04-2024,Success,2024,4
Digital-Operations,Core,08-04-2024,Success,2024,4
Digital-Operations,Core,24-04-2024,Success,2024,4
Digital-Operations,Core,25-04-2024,Success,2024,4
Digital-Operations,Core,26-04-2024,Success,2024,4
Digital-Operations,Core,02-05-2024,Success,2024,5
Digital-Operations,Core,06-05-2024,Success,2024,5
Digital-Operations,Core,06-05-2024,Success,2024,5
Digital-Operations,Core,07-05-2024,Success,2024,5
Digital-Operations,Core,07-05-2024,Success,2024,5
Digital-Operations,Core,22-05-2024,Success,2024,5
Digital-Operations,Core,28-05-2024,Success,2024,5
Digital-Operations,Core,10-06-2024,Success,2024,6
Digital-Operations,Core,17-07-2024,Success,2024,7
Digital-Operations,Core,23-07-2024,Success,2024,7
Digital-Operations,Core,12-08-2024,Success,2024,8
Digital-Operations,Core,14-08-2024,Success,2024,8
Digital-Operations,Core,19-08-2024,Success,2024,8
Digital-Operations,Core,19-08-2024,Success,2024,8
Digital-Operations,Core,19-08-2024,Failure,2024,8
Digital-Operations,Core,20-08-2024,Success,2024,8
Digital-Operations,Core,20-08-2024,Success,2024,8
